drop;	To fall in droplets of a liquid. A place where items or supplies may be left for others to collect, sometimes associated with criminal activity. a drop-off point. The space or distance below a cliff or other high position into which someone or something could fall. to dispose of. get rid of. to remove. to lose To drip a liquid. To let a letter etc. fall into a postbox. to send a letter or message. Generally, to fall straight down. A small mass of liquid just large enough to hold its own weight via surface tension, usually one that falls from a source of liquid. To part with or spend money. To fail to make a catch from a batted ball that would have lead to the batsman being out. A single measure of whisky. To enter public distribution. In a woman, the difference between bust circumference and hip circumference. in a man, the difference between chest circumference and waist circumference. To fail to write, or especially to pronounce a syllable, letter etc.. to eject. to dismiss. to cease to include, as if on a list. licorice, especially a distinct form of very salty licorice sold as small round candies. To express or utter casually or incidentally. to casually mention, usually in conversation. Any item dropped by defeated enemies. To come to an end by not being kept up. to stop. A fall, descent. an act of dropping. a small amount of an alcoholic beverage. or when used with the definite article the drop, alcoholic spirits in general. To release to the public. To cease concerning oneself over. to have nothing more to do with a subject, discussion etc.. An instance of dropping supplies or making a delivery, sometimes associated with delivery of supplies by parachute. To make someone or something fall to the ground from a blow, gunshot etc.. to bring down, to shoot down. To let fall. to allow to fall either by releasing hold of, or losing one s grip on. To cancel or end a scheduled event, project or course A dropped pass. Short for drop-back or drop back. drop goal bustard To sink quickly to the ground. To lessen, decrease, or diminish in value, condition, degree, etc.. To swallow a drug, particularly LSD. To impart. A small, round, sweet piece of hard candy, e.g. a lemon drop. a lozenge. Drop me a note when you get to the city. On one side of the road was a - foot drop. It doesn t matter where you re from. anyone who enjoys the drop is a friend of mine. I dropped ten pounds and an obnoxious fiance. Hip-Hop Xmas dropped in time for the holidays. That was a long drop, but fortunately I didn t break any bones. Make any sudden movements and I will drop you! Yo, I drop rhymes like nobody s business. He usually enjoys a drop after dinner. The stock dropped. yesterday. If your clothes are on fire, stop, drop and roll. The delivery driver has to make three more drops before lunch. The Tiger quarterback took a one-step drop, expecting his tight end to be open. They had never dropped acid. I left the plans at the drop, like you asked. Put three drops of oil into the mixture. I drop knowledge wherever I go. Watch for the temperature to drop sharply, then you ll know the reaction is complete. We can take our vacation when the price of fuel drops. Don t drop that plate! They dropped Hip-Hop Xmas in time for the holidays. The moderator would drop hints whenever the students struggled. Yet another drop for the Tiger tight end. The police ordered the men to drop their weapons. I ve been dropped from the football team. Cockneys drop their Hs. Drop and give me thirty push-ups, private! A single shot was fired and the bird dropped from the sky. I m tired of this subject. Will you just drop it? I had to drop calculus because it was taking up too much of my time and I couldn t go anymore. With a quick clench of the fist on Joey s throat, Bodie dropped him. The man crumpled to the ground... page... with a single shot he dropped him like a master of the art. The question Who put the most in the collection box? The wealthy guy, who dropped a C note, or the tattered old dame who parted with her last tarnished penny. page... if the first shot does not drop him, and he rushes on, the second will be a very hurried and most likely ineffectual one... Maisie s faith in Mrs. Wix for instance had suffered no lapse from the fact that all communication with her had temporarily dropped. I forked over the.. I was in no position to be dropping twenties like gumdrops but I deserved something good from this crappy morning. He dropped the beast with a bullet in its heart. The piano player s out, the music stopped His boy had beef, and he got dropped... As with all other animals, a shot behind the shoulder is the most likely to drop the beast on the spot... droplike. dropless. drop. p. ing. recreational drugs. liquids. birds.

entity;	That which has a distinct existence as an individual unit. Often used for organizations which have no physical form. An organized array or set of individual elements or parts. An existent something that has the properties of being real, and having a real existence. The state or quality of being or existence. The group successfully maintains its tribal entity. It is also pertinent to note that the current obvious decline in work on holarctic hepatics most surely reflects a current obsession with cataloging and with nomenclature of the organisms as divorced from their study as living entities. nonentity. relationship. geopolitical entity. entity-relationship model. entitative. entity. legal entity. trinity. duality.

solitude;	A lonely or deserted place. solitude Aloneness. state of being alone or solitary, by oneself. Mark where his carnage and his conquests cease! br He makes a solitude, and calls it mdash. peace. solitary. seul. solitudinous. solo. soliloquy. loneliness. aloneness. solitaire. two solitudes. sole.

basil;	A plant Ocimum basilicum. bacillus The leaves of this plant used as a herb. albahaca. sweet basil. st. joseph s wort. plants. pronunciations wildly different across the pond. spices and herbs.

echo;	work The letter E in the ICAO spelling alphabet. To repeat another s speech, opinion etc.. The displaying on the command line of the command that has just been executed. To repeat back precisely what another has just to copy in the imitation of a natural echo. To reflect off of a surface and return to someone who has heard it already. A reflected sound that is heard again by its initial observer. echo Sid echoed his father s point of view. imitate. es. echo.

diner;	A railroad dining car. money Agent noun of dine. one who dines. one who eats a meal, especially dinner. A small and inexpensive type of restaurant which is modelled to resemble a dining car. The diner is everybody s kitchen. ndash. Richard Gutman When it comes to Chinese food I have always operated under the policy that the less known about the preparation the better. A wise diner who is invited to visit the kitchen replies by saying, as politely as possible, that he has a pressing engagement elsewhere. ndash. Calvin Trillin dinner. dine. dining. dining car. pub. joe s diner.

jap;	I give

anthem;	A hymn of praise or loyalty. A choral or vocal composition, often with a religious or political lyric. Antiphon. A very popular song or track. The choir sang a selection of Christmas anthems at the service just before the big day. The school s anthem sang of its many outstanding qualities, and it was hard to keep a straight face while singing. In May, they even finally cracked the UK top ten when they teamed up with Paul Van Dyk on the trance anthem The Riddle... anthemic. national anthem.

basic;	Of or pertaining to a base. antonym of acidic basic training. A necessary commodity, a staple requirement. BASIC elementary, simple, fundamental, merely functional. An elementary building block, e.g. a fundamental piece of knowledge. necessary, essential for life or some process. Flour is a basic ingredient of bread. Arithmetic is a basic for the study of mathematics. Rice is a basic for many Asian villagers. The Hotel Sparta s accommodation is purely basic. basically. basic. bare-bones.

composition;	typesetting. A mixture or compound. the result of composing. The proportion of different parts to make a whole. An agreement or treaty used to settle differences. later especially, an agreement to stop hostilities. a truce. An agreement to pay money in order to clear a liability or obligation. a settling. A work of music, literature or art. An essay. The formation of compound words from separate words. The general makeup of something. with an incredible courage they advanced to the push of the Pike with the defendants, that with the like courage repulsed, that the Turks retired and fled into the Castle, from whence by a flag of truce they desired composition. It will stoope and yeeld upon better compositions to him that shall make head against it. Insidious death! should his strong hand arrest, No composition sets the prisoner free. compositing. musical composition. composite.

jan;	January. to eat away, corrode food to eat apr. jul. jun. l. janari. maj. dec. feb. nov. sep. sv. mar. aug. okt. months.

